#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0       1244.60      0.12100    1.210e-01   
1       1353.35      0.12594    1.259e-01   
2       1445.40      0.06940    6.940e-02   
3       1524.25      0.07472    7.472e-02   
4       1592.40      0.05393    5.393e-02   
5       1672.20      0.05469    3.939e-02   
6       1715.65      0.08834    2.722e-02   
7       1768.45      0.12094    2.827e-02   
8       1827.05      0.08364    2.405e-02   
9       1871.45      0.10038    2.182e-02   
10      1928.50      0.11086    7.944e-03   
11      1981.80      0.13883    1.675e-02   
12      2040.55      0.12485    1.995e-02   
13      2090.75      0.12507    3.285e-02   
14      2139.10      0.11937    1.154e-02   
15      2187.20      0.15390    1.068e-02   
16      2227.20      0.12379    1.256e-02   
17      2283.55      0.13992    1.362e-02   
18      2325.30      0.11893    1.116e-02   
19      2378.30      0.13238    1.500e-02   
20      2405.80      0.13726    8.990e-03   
21      2466.40      0.13529    8.744e-03   
22      2515.00      0.15691    7.758e-03   
23      2578.00      0.14824    1.683e-02   
24      2630.15      0.17705    6.875e-03   
25      2696.40      0.19967    2.778e-03   
26      2738.00      0.21842    9.476e-03   
27      2806.30      0.18483    4.142e-03   
28      2839.90      0.23539    1.393e-02   
29      2886.95      0.27155    1.433e-03   
30      2937.75      0.28526    6.121e-03   
31      2987.15      0.28417    3.838e-03   
32      3063.10      0.32846    6.629e-03   
33      3107.70      0.34654    4.553e-03   
34      3163.85      0.34747    1.454e-03   
35      3230.05      0.37748    4.996e-03   
36      3327.85      0.38307    3.796e-03   
37      3408.30      0.40836    1.306e-03   
38      3488.20      0.44360    4.341e-03   
39      3560.35      0.46794    9.381e-04   
40      3632.15      0.48675    4.317e-03   
41      3711.00      0.53868    2.523e-03   
42      3770.80      0.55885    1.519e-03   
43      3873.95      0.65375    2.992e-03   
44      3948.60      0.73530    6.250e-04   
45      4027.25      0.81136    5.713e-04   
46      4090.65      0.81803    1.702e-03   
47      4179.05      0.89382    2.617e-03   
48      4357.85      0.97584    3.875e-04   
49      4419.40      0.99249    8.210e-04   
50      4508.30      1.02580    1.195e-03   
51      4622.45      1.04680    5.433e-04   
52      4776.05      1.05690    1.895e-04   
53      4836.40      1.03180    5.937e-04   
54      4920.75      1.06875    4.231e-04   
55      5011.60      1.05280    7.600e-04   
56      5142.65      1.03250    7.695e-04   
57      5316.50      1.04640    2.865e-04   
58      5431.00      1.04615    6.460e-04   
59      5543.95      1.03460    3.724e-04   
60      5700.75      1.02975    3.183e-04   
61      5855.20      1.02310    2.725e-04   
62      5971.70      1.01375    9.066e-04   
63      6099.35      1.00690    2.853e-04   
64      6267.85      0.98869    4.127e-04   
65      6402.50      0.96968    8.366e-04   
66      6619.50      0.95649    1.012e-03   
67      6833.70      0.92840    2.615e-04   
68      7090.10      0.88124    4.036e-04   
69      7485.25      0.85257    1.810e-04   
70      7586.75      0.85286    1.216e-03   
71      7726.50      0.85267    4.572e-04   
72      8178.20      0.79903    1.674e-04   
73      8303.00      0.78019    9.544e-04   
74      8518.95      0.76386    1.690e-03   
75      9102.75      0.72674    7.188e-04   
76      9754.30      0.69969    2.292e-04   
77     10161.50      0.66326    9.338e-04   
78     10573.50      0.61306    6.630e-04   
79     12626.50      0.49635    1.119e-05   
80     14101.50      0.41368    9.625e-06   
81     16057.00      0.34825    1.075e-05   
82     17310.00      0.30125    1.191e-05   
83     19815.00      0.22452    6.299e-05   
84     21359.00      0.16585    1.125e-04   
85     23081.00      0.12051    3.078e-03   
86     27266.50      0.06303    4.531e-03   
87     30401.00      0.04436    1.688e-03   
88     36202.50      0.02404    1.853e-03   
89     93291.00      0.00277    2.767e-03   
90    443400.00      0.00347    3.468e-03   
91    709440.00      0.00196    1.961e-03   
