#Filter     Eff. Wave     Flux(Scaled)     Error(NMAD)
0        820.12      0.80949    8.095e-01   
1        886.20      0.64897    3.155e-01   
2        941.39      1.57245    9.229e-02   
3        981.92      2.37350    4.225e-02   
4       1027.60      2.73040    2.734e-02   
5       1069.40      2.92760    3.561e-02   
6       1102.40      2.79990    2.244e-02   
7       1146.65      2.70500    2.928e-02   
8       1184.80      3.08680    2.654e-02   
9       1215.00      3.48930    1.542e-02   
10      1246.80      3.67540    8.005e-03   
11      1272.80      3.67540    1.902e-02   
12      1311.25      3.78905    1.281e-02   
13      1332.30      3.71900    9.310e-03   
14      1357.70      3.71690    9.321e-03   
15      1379.70      3.65220    1.465e-02   
16      1409.40      3.67390    1.213e-02   
17      1437.85      3.54905    1.111e-02   
18      1459.10      3.48340    8.837e-03   
19      1492.20      3.39600    8.412e-03   
20      1511.90      3.30050    7.024e-03   
21      1541.60      3.28630    7.454e-03   
22      1567.40      3.27500    6.408e-03   
23      1594.00      3.19830    7.837e-03   
24      1625.10      3.10420    1.051e-02   
25      1653.00      3.03470    7.871e-03   
26      1689.00      3.02060    9.336e-03   
27      1710.20      2.89005    1.051e-02   
28      1742.60      2.81680    7.731e-03   
29      1772.80      2.77490    7.545e-03   
30      1802.50      2.70100    8.544e-03   
31      1842.00      2.58490    1.067e-02   
32      1874.95      2.52200    1.032e-02   
33      1916.10      2.43550    1.392e-02   
34      1960.90      2.32490    1.219e-02   
35      2003.00      2.19950    1.548e-02   
36      2036.30      2.13380    9.443e-03   
37      2084.00      2.03975    1.325e-02   
38      2136.50      1.96380    1.357e-02   
39      2184.40      1.89520    1.052e-02   
40      2220.80      1.83850    9.244e-03   
41      2272.70      1.79340    7.964e-03   
42      2340.35      1.68155    1.407e-02   
43      2394.00      1.58270    1.224e-02   
44      2467.20      1.49880    1.131e-02   
45      2532.00      1.51690    7.951e-03   
46      2582.35      1.47500    7.267e-03   
47      2648.80      1.38520    8.124e-03   
48      2728.90      1.32280    9.378e-03   
49      2791.70      1.31470    5.589e-03   
50      2857.60      1.26600    9.082e-03   
51      2897.90      1.23515    6.712e-03   
52      2963.90      1.18000    1.141e-02   
53      3043.50      1.16590    9.857e-03   
54      3119.40      1.12450    7.925e-03   
55      3192.80      1.14410    6.558e-03   
56      3259.80      1.13570    8.311e-03   
57      3351.60      1.06440    6.641e-03   
58      3433.80      1.08450    8.143e-03   
59      3498.20      1.07860    6.942e-03   
60      3568.30      1.11530    5.802e-03   
61      3649.95      1.12510    9.320e-03   
62      3774.40      1.17330    1.232e-02   
63      3852.10      1.15120    5.412e-03   
64      3942.10      1.07720    7.707e-03   
65      4072.20      1.04720    6.489e-03   
66      4222.55      1.03345    7.102e-03   
67      4355.30      1.00090    6.084e-03   
68      4516.80      0.98375    1.242e-02   
69      4670.60      1.00840    1.120e-02   
70      4805.40      1.06420    1.212e-02   
71      4952.70      0.96104    9.827e-03   
72      5105.20      0.88728    1.990e-02   
73      5274.70      0.78333    8.189e-03   
74      5399.90      0.70415    5.275e-03   
75      5550.60      0.63535    7.654e-03   
76      5754.10      0.63511    1.431e-02   
77      5986.60      0.57139    7.147e-03   
78      6165.30      0.59870    3.141e-03   
79      8239.10      0.32763    2.995e-04   
80      9145.90      0.30964    1.701e-04   
81     10023.00      0.24694    2.263e-04   
82     11030.00      0.21646    2.045e-04   
83     12203.00      0.17369    2.186e-04   
84     13224.00      0.13865    1.451e-02   
85     14661.00      0.10087    1.303e-02   
86     16540.50      0.08793    1.119e-02   
87     19276.00      0.06011    2.174e-02   
88     21588.00      0.05001    1.448e-02   
89     59032.00      0.00936    9.357e-03   
90    244910.00      0.01761    1.761e-02   
91    391850.00      0.01161    1.161e-02   
